date,action,price,weight,shares
2016-04-26,buy,19.459999084472656,1.0,5138
2016-10-25,sell,25.600000381469727,-1.0,5138
2016-12-16,buy,25.690000534057617,1.0,5120
2018-01-24,sell,39.43999862670898,-1.0,5120
2018-03-05,buy,35.75,1.0,5648
2018-08-24,sell,39.29999923706055,-1.0,5648
2018-10-12,buy,31.68000030517578,1.0,7007
2019-04-18,sell,40.63999938964844,-1.0,7007
2019-05-20,buy,36.68000030517578,1.0,7763
2019-12-30,sell,54.54999923706055,-1.0,7763
2020-01-09,buy,52.59999847412109,1.0,8051
2020-08-11,sell,66.1500015258789,-1.0,8051
2020-10-15,buy,66.9000015258789,1.0,7961
2021-01-18,sell,103.5999984741211,-1.0,7961
2021-03-24,buy,108.8499984741211,1.0,7577
2022-02-17,sell,147.8000030517578,-1.0,7577
2022-04-13,buy,128.8000030517578,1.0,8694
2022-06-06,sell,120.6999969482422,-1.0,8694
2022-07-07,buy,90.1500015258789,1.0,11641
2022-07-28,sell,104.3000030517578,-1.0,11641
2022-11-04,buy,76.25,1.0,15923
2023-06-29,sell,136.35000610351562,-1.0,15923
2023-08-10,buy,135.14999389648438,1.0,16064
2023-10-16,sell,132.35000610351562,-1.0,16064
2023-11-07,buy,131.5,1.0,16168
2024-02-29,sell,167.89999389648438,-1.0,16168
2024-04-24,buy,186.8999938964844,1.0,14524
2024-10-21,sell,257.79998779296875,-1.0,14524
2024-11-05,buy,238.3500061035156,1.0,15709
2025-08-08,sell_forced,253.1999969482422,-1.0,15709
