date,action,price,weight,shares
2016-05-17,buy,17.280000686645508,1.0,5787
2016-11-07,sell,24.649999618530277,-1.0,5787
2016-11-22,buy,24.21999931335449,1.0,5889
2017-06-28,sell,32.900001525878906,-1.0,5889
2017-08-09,buy,34.70000076293945,1.0,5584
2018-01-30,sell,39.11000061035156,-1.0,5584
2018-04-25,buy,34.400001525878906,1.0,6348
2018-10-01,sell,40.83000183105469,-1.0,6348
2018-11-06,buy,32.709999084472656,1.0,7924
2019-05-02,sell,40.58000183105469,-1.0,7924
2019-05-29,buy,34.95000076293945,1.0,9200
2019-11-19,sell,49.56999969482422,-1.0,9200
2020-03-02,buy,45.65999984741211,1.0,9988
2020-08-28,sell,64.80000305175781,-1.0,9988
2020-11-30,buy,79.55000305175781,1.0,8136
2022-01-06,sell,148.25,-1.0,8136
2022-05-11,buy,111.6500015258789,1.0,10803
2023-02-15,sell,112.0500030517578,-1.0,10803
2023-02-21,buy,111.6500015258789,1.0,10842
2024-02-23,sell,170.14999389648438,-1.0,10842
2024-04-22,buy,179.0,1.0,10305
2025-08-08,sell_forced,253.1999969482422,-1.0,10305
